データ日付,終値,始値,高値,安値
"2016/06/30","15575.92","15752.71","15781.69","15575.92"
"2016/07/01","15682.48","15698.02","15765.00","15635.57"
"2016/07/04","15775.80","15554.04","15805.31","15553.92"
"2016/07/05","15669.33","15682.16","15702.04","15602.73"
"2016/07/06","15378.99","15434.46","15434.46","15167.98"
"2016/07/07","15276.24","15346.81","15418.90","15241.91"
"2016/07/08","15106.98","15326.84","15399.70","15106.52"
"2016/07/11","15708.82","15375.94","15816.67","15375.94"
"2016/07/12","16095.65","15961.30","16237.62","15956.91"
"2016/07/13","16231.43","16343.00","16444.25","16196.44"
"2016/07/14","16385.89","16242.20","16398.73","16229.26"
"2016/07/15","16497.85","16396.12","16607.32","16396.12"
"2016/07/19","16723.31","16612.09","16726.71","16514.66"
"2016/07/20","16681.89","16646.92","16692.84","16554.03"
"2016/07/21","16810.22","16855.18","16938.96","16740.00"
"2016/07/22","16627.25","16612.90","16691.81","16566.98"
"2016/07/25","16620.29","16655.81","16778.65","16612.33"
"2016/07/26","16383.04","16535.81","16535.81","16323.10"
"2016/07/27","16664.82","16526.06","16821.43","16526.06"
"2016/07/28","16476.84","16596.15","16616.28","16450.28"
"2016/07/29","16569.27","16359.68","16679.19","16174.35"
"2016/08/01","16635.77","16415.31","16677.49","16319.15"
"2016/08/02","16391.45","16469.68","16541.88","16391.45"
"2016/08/03","16083.11","16227.28","16275.34","16056.67"
"2016/08/04","16254.89","16168.34","16270.12","15921.04"
"2016/08/05","16254.45","16278.99","16355.98","16230.70"
"2016/08/08","16650.57","16462.29","16652.04","16455.57"
"2016/08/09","16764.97","16632.41","16779.59","16630.56"
"2016/08/10","16735.12","16699.08","16822.86","16657.59"
"2016/08/12","16919.92","16877.18","16943.67","16818.43"
"2016/08/15","16869.56","16866.89","16932.11","16844.58"
"2016/08/16","16596.51","16878.66","16887.57","16596.51"
"2016/08/17","16745.64","16596.26","16772.11","16596.26"
"2016/08/18","16486.01","16649.91","16714.61","16481.41"
"2016/08/19","16545.82","16558.38","16613.04","16452.62"
"2016/08/22","16598.19","16599.26","16631.23","16540.94"
"2016/08/23","16497.36","16549.82","16663.64","16452.01"
"2016/08/24","16597.30","16550.21","16648.07","16544.39"
"2016/08/25","16555.95","16580.15","16628.79","16520.84"
"2016/08/26","16360.71","16485.55","16490.53","16320.43"
"2016/08/29","16737.49","16631.06","16764.64","16616.65"
"2016/08/30","16725.36","16690.98","16752.16","16677.85"
"2016/08/31","16887.40","16857.83","16917.86","16836.96"
"2016/09/01","16926.84","16885.16","16941.18","16864.56"
"2016/09/02","16925.68","16903.78","16946.49","16848.12"
"2016/09/05","17037.63","17131.52","17156.36","17009.21"
"2016/09/06","17081.98","17035.03","17097.59","17022.64"
"2016/09/07","17012.44","16937.38","17024.26","16903.20"
"2016/09/08","16958.77","16984.00","17001.84","16836.65"
"2016/09/09","16965.76","16994.37","17029.78","16902.09"
"2016/09/12","16672.92","16748.36","16802.00","16601.54"
"2016/09/13","16729.04","16764.65","16787.06","16658.40"
"2016/09/14","16614.24","16632.06","16706.61","16585.80"
"2016/09/15","16405.01","16512.42","16528.02","16359.78"
"2016/09/16","16519.29","16458.74","16532.84","16415.86"
"2016/09/20","16492.15","16403.22","16591.70","16403.22"
"2016/09/21","16807.62","16471.85","16823.63","16399.65"
"2016/09/23","16754.02","16759.84","16808.59","16725.53"
"2016/09/26","16544.56","16707.45","16707.45","16514.93"
"2016/09/27","16683.93","16390.91","16683.93","16285.41"
"2016/09/28","16465.40","16504.99","16515.84","16385.03"
"2016/09/29","16693.71","16606.30","16756.43","16584.14"
"2016/09/30","16449.84","16474.45","16497.55","16407.78"
"2016/10/03","16598.67","16566.03","16652.16","16554.83"
"2016/10/04","16735.65","16661.51","16747.20","16637.82"
"2016/10/05","16819.24","16787.89","16844.35","16728.19"
"2016/10/06","16899.10","16913.60","16971.28","16888.77"
"2016/10/07","16860.09","16883.12","16895.13","16820.21"
"2016/10/11","17024.76","16936.31","17074.46","16931.12"
"2016/10/12","16840.00","16850.73","16951.54","16839.41"
"2016/10/13","16774.24","16923.82","16974.25","16739.73"
"2016/10/14","16856.37","16751.04","16866.56","16727.78"
"2016/10/17","16900.12","16871.84","16954.44","16821.49"
"2016/10/18","16963.61","16862.31","16966.90","16844.17"
"2016/10/19","16998.91","16952.91","17016.66","16938.46"
"2016/10/20","17235.50","16999.36","17235.50","16992.14"
"2016/10/21","17184.59","17283.75","17288.89","17151.98"
"2016/10/24","17234.42","17216.56","17244.74","17162.21"
"2016/10/25","17365.25","17298.63","17381.80","17298.63"
"2016/10/26","17391.84","17329.03","17391.84","17295.46"
"2016/10/27","17336.42","17346.39","17414.21","17278.12"
"2016/10/28","17446.41","17448.25","17461.03","17406.72"
"2016/10/31","17425.02","17360.89","17433.13","17327.62"
"2016/11/01","17442.40","17380.54","17473.12","17339.64"
"2016/11/02","17134.68","17238.00","17283.60","17080.59"
"2016/11/04","16905.36","16964.50","16996.09","16801.98"
"2016/11/07","17177.21","17126.03","17186.89","17056.84"
"2016/11/08","17171.38","17242.70","17247.04","17130.83"
"2016/11/09","16251.54","17281.95","17427.71","16111.81"
"2016/11/10","17344.42","16562.86","17393.82","16560.66"
"2016/11/11","17374.79","17526.61","17621.73","17333.49"
"2016/11/14","17672.62","17467.49","17697.33","17455.78"
"2016/11/15","17668.15","17690.22","17727.58","17605.77"
"2016/11/16","17862.21","17832.51","17886.44","17807.47"
"2016/11/17","17862.63","17766.61","17884.06","17764.08"
"2016/11/18","17967.41","18024.21","18043.72","17967.41"
"2016/11/21","18106.02","18038.09","18129.03","18007.79"
"2016/11/22","18162.94","18091.05","18175.63","18050.55"
"2016/11/24","18333.41","18329.78","18382.72","18310.31"
"2016/11/25","18381.22","18387.59","18482.94","18288.50"
"2016/11/28","18356.89","18302.58","18374.93","18222.82"
"2016/11/29","18307.04","18263.63","18327.51","18258.82"
"2016/11/30","18308.48","18356.03","18370.31","18280.66"
"2016/12/01","18513.12","18535.24","18746.28","18469.27"
"2016/12/02","18426.08","18435.55","18469.68","18315.38"
"2016/12/05","18274.99","18349.92","18365.74","18227.39"
"2016/12/06","18360.54","18457.20","18484.80","18318.99"
"2016/12/07","18496.69","18434.54","18502.47","18410.88"
"2016/12/08","18765.47","18674.19","18765.47","18614.01"
"2016/12/09","18996.37","18839.98","19042.48","18821.41"
"2016/12/12","19155.03","19183.82","19280.93","19054.00"
"2016/12/13","19250.52","19120.76","19253.51","19060.72"
"2016/12/14","19253.61","19270.01","19284.28","19184.75"
"2016/12/15","19273.79","19327.70","19436.90","19192.60"
"2016/12/16","19401.15","19438.39","19439.97","19360.36"
"2016/12/19","19391.60","19345.84","19399.26","19307.14"
"2016/12/20","19494.53","19367.84","19511.20","19356.81"
"2016/12/21","19444.49","19547.28","19592.90","19375.19"
"2016/12/22","19427.67","19396.85","19427.67","19327.51"
"2016/12/26","19396.64","19394.41","19432.48","19385.94"
"2016/12/27","19403.06","19353.43","19478.58","19352.06"
"2016/12/28","19401.72","19392.11","19442.13","19364.73"
"2016/12/29","19145.14","19301.04","19301.04","19092.22"
"2016/12/30","19114.37","18997.68","19176.81","18991.59"
"2017/01/04","19594.16","19298.68","19594.16","19277.93"
"2017/01/05","19520.69","19602.10","19615.40","19473.28"
"2017/01/06","19454.33","19393.55","19472.37","19354.44"
"2017/01/10","19301.44","19414.83","19484.90","19255.35"
"2017/01/11","19364.67","19358.64","19402.17","19325.46"
"2017/01/12","19134.70","19300.19","19300.19","19069.02"
"2017/01/13","19287.28","19174.97","19299.36","19156.93"
"2017/01/16","19095.24","19219.13","19255.41","19061.27"
"2017/01/17","18813.53","19038.45","19043.91","18812.86"
"2017/01/18","18894.37","18753.96","18941.24","18650.33"
"2017/01/19","19072.25","19082.83","19122.39","18982.13"
"2017/01/20","19137.91","19059.15","19176.86","19040.20"
"2017/01/23","18891.03","18938.45","19024.21","18879.68"
"2017/01/24","18787.99","18817.42","18915.70","18783.16"
"2017/01/25","19057.50","19091.23","19133.18","18987.45"
"2017/01/26","19402.39","19260.67","19405.23","19232.46"
"2017/01/27","19467.40","19453.51","19486.68","19404.13"
"2017/01/30","19368.85","19371.28","19390.97","19295.80"
"2017/01/31","19041.34","19145.35","19199.75","19041.34"
"2017/02/01","19148.08","18926.97","19155.79","18916.18"
"2017/02/02","18914.58","19152.79","19170.63","18866.80"
"2017/02/03","18918.20","18996.74","19061.26","18830.89"
"2017/02/06","18976.71","19069.72","19075.57","18899.40"
"2017/02/07","18910.78","18844.12","18970.58","18805.32"
"2017/02/08","19007.60","18951.16","19009.24","18875.57"
"2017/02/09","18907.67","18942.04","18991.23","18874.91"
"2017/02/10","19378.93","19216.74","19395.99","19193.57"
"2017/02/13","19459.15","19513.78","19519.44","19418.18"
"2017/02/14","19238.98","19478.86","19501.01","19232.85"
"2017/02/15","19437.98","19438.81","19495.62","19420.00"
"2017/02/16","19347.53","19431.61","19431.61","19260.24"
"2017/02/17","19234.62","19228.74","19275.39","19173.53"
"2017/02/20","19251.08","19161.33","19274.75","19115.11"
"2017/02/21","19381.44","19267.87","19395.35","19261.98"
"2017/02/22","19379.87","19419.22","19419.22","19329.28"
"2017/02/23","19371.46","19379.92","19379.92","19262.63"
"2017/02/24","19283.54","19232.11","19381.10","19219.58"
"2017/02/27","19107.47","19130.51","19178.99","18995.55"
"2017/02/28","19118.99","19194.68","19267.99","19118.99"
"2017/03/01","19393.54","19226.94","19414.55","19164.62"
"2017/03/02","19564.80","19624.82","19668.01","19564.80"
"2017/03/03","19469.17","19551.34","19587.79","19392.75"
"2017/03/06","19379.14","19409.18","19411.54","19340.32"
"2017/03/07","19344.15","19337.19","19375.09","19317.10"
"2017/03/08","19254.03","19308.53","19326.40","19198.78"
"2017/03/09","19318.58","19343.06","19350.20","19262.98"
"2017/03/10","19604.61","19444.71","19623.72","19427.81"
"2017/03/13","19633.75","19545.74","19656.48","19531.51"
"2017/03/14","19609.50","19634.29","19637.55","19599.62"
"2017/03/15","19577.38","19528.75","19581.53","19503.74"
"2017/03/16","19590.14","19458.70","19618.99","19454.17"
"2017/03/17","19521.59","19510.89","19547.51","19487.92"
"2017/03/21","19455.88","19416.55","19485.14","19337.22"
"2017/03/22","19041.38","19146.62","19183.27","19026.53"
"2017/03/23","19085.31","19048.84","19105.11","18973.75"
"2017/03/24","19262.53","19066.35","19296.05","19060.64"
"2017/03/27","18985.59","19071.19","19086.89","18932.09"
"2017/03/28","19202.87","19159.07","19203.64","19113.44"
"2017/03/29","19217.48","19216.78","19251.30","19164.61"
"2017/03/30","19063.22","19150.82","19218.08","19043.48"
"2017/03/31","18909.26","19170.42","19210.92","18909.26"
"2017/04/03","18983.23","18988.00","19068.62","18920.52"
"2017/04/04","18810.25","18933.82","18947.33","18703.63"
"2017/04/05","18861.27","18900.70","18941.94","18773.94"
"2017/04/06","18597.06","18754.37","18797.44","18532.65"
"2017/04/07","18664.63","18714.98","18785.73","18517.43"
"2017/04/10","18797.88","18800.22","18850.80","18762.70"
"2017/04/11","18747.87","18717.55","18767.70","18661.86"
"2017/04/12","18552.61","18592.10","18602.50","18460.59"
"2017/04/13","18426.84","18391.72","18455.25","18304.72"
"2017/04/14","18335.63","18531.91","18531.91","18285.73"
"2017/04/17","18355.26","18239.84","18361.44","18224.68"
"2017/04/18","18418.59","18497.38","18547.46","18362.73"
"2017/04/19","18432.20","18327.33","18467.73","18327.33"
"2017/04/20","18430.49","18446.39","18523.40","18420.82"
"2017/04/21","18620.75","18591.82","18648.28","18542.42"
"2017/04/24","18875.88","18890.38","18910.33","18840.13"
"2017/04/25","19079.33","18872.56","19109.76","18867.19"
"2017/04/26","19289.43","19184.92","19289.43","19170.86"
"2017/04/27","19251.87","19205.59","19281.70","19199.59"
"2017/04/28","19196.74","19240.65","19264.57","19164.68"
"2017/05/01","19310.52","19154.03","19311.21","19144.62"
"2017/05/02","19445.70","19335.72","19464.30","19335.02"
"2017/05/08","19895.70","19709.01","19929.48","19705.13"
"2017/05/09","19843.00","19915.64","19917.45","19838.71"
"2017/05/10","19900.09","19890.56","19938.53","19866.30"
"2017/05/11","19961.55","19943.95","19989.94","19906.35"
"2017/05/12","19883.90","19941.64","19941.64","19809.91"
"2017/05/15","19869.85","19753.46","19869.85","19740.63"
"2017/05/16","19919.82","19953.06","19998.49","19862.41"
"2017/05/17","19814.88","19806.78","19842.78","19764.63"
"2017/05/18","19553.86","19556.99","19601.53","19449.73"
"2017/05/19","19590.76","19591.41","19628.64","19497.29"
"2017/05/22","19678.28","19670.48","19722.93","19618.73"
"2017/05/23","19613.28","19647.74","19693.02","19585.54"
"2017/05/24","19742.98","19777.56","19782.81","19690.10"
"2017/05/25","19813.13","19737.21","19850.93","19720.12"
"2017/05/26","19686.84","19798.49","19801.59","19686.49"
"2017/05/29","19682.57","19697.18","19736.62","19627.19"
"2017/05/30","19677.85","19681.11","19691.44","19570.13"
"2017/05/31","19650.57","19630.33","19673.51","19589.25"
"2017/06/01","19860.03","19692.16","19887.66","19686.32"
"2017/06/02","20177.28","19970.23","20239.81","19967.00"
"2017/06/05","20170.82","20135.42","20224.54","20104.13"
"2017/06/06","19979.90","20122.26","20152.95","19948.02"
"2017/06/07","19984.62","19951.68","20023.24","19908.07"
"2017/06/08","19909.26","20048.28","20061.22","19896.35"
"2017/06/09","20013.26","19953.06","20096.01","19927.07"
"2017/06/12","19908.58","19920.77","19949.07","19837.64"
"2017/06/13","19898.75","19859.81","19929.03","19850.86"
"2017/06/14","19883.52","19974.56","20009.93","19879.60"
"2017/06/15","19831.82","19815.54","19963.36","19755.34"
"2017/06/16","19943.26","19931.15","20015.16","19884.80"
"2017/06/19","20067.75","19974.30","20087.71","19949.88"
"2017/06/20","20230.41","20234.12","20318.11","20227.29"
"2017/06/21","20138.79","20192.16","20215.11","20117.79"
"2017/06/22","20110.51","20154.38","20191.42","20107.89"
"2017/06/23","20132.67","20152.58","20152.58","20089.54"
"2017/06/26","20153.35","20132.81","20196.38","20119.04"
"2017/06/27","20225.09","20229.12","20250.10","20185.19"
"2017/06/28","20130.41","20149.20","20224.30","20110.49"
"2017/06/29","20220.30","20260.87","20266.59","20197.38"
"2017/06/30","20033.43","20025.63","20044.01","19946.51"
"2017/07/03","20055.80","20056.32","20096.14","20030.61"
"2017/07/04","20032.35","20192.27","20197.16","19971.53"
"2017/07/05","20081.63","20015.07","20087.01","19888.90"
"2017/07/06","19994.06","20061.68","20078.88","19947.63"
"2017/07/07","19929.09","19856.65","19979.93","19856.65"
"2017/07/10","20080.98","20070.44","20127.76","20023.03"
"2017/07/11","20195.48","20073.86","20200.88","20070.67"
"2017/07/12","20098.38","20137.22","20153.04","20061.16"
"2017/07/13","20099.81","20177.28","20183.80","20062.27"
"2017/07/14","20118.86","20157.92","20163.67","20101.71"
"2017/07/18","19999.91","20074.41","20081.29","19943.14"
"2017/07/19","20020.86","19970.78","20032.46","19947.26"
"2017/07/20","20144.59","20046.90","20157.11","20032.23"
"2017/07/21","20099.75","20089.86","20135.33","20081.91"
"2017/07/24","19975.67","19973.67","20002.54","19901.88"
"2017/07/25","19955.20","19979.56","20036.31","19941.61"
"2017/07/26","20050.16","20098.14","20116.00","20016.58"
"2017/07/27","20079.64","20026.58","20176.39","20005.20"
"2017/07/28","19959.84","20048.46","20056.16","19926.60"
"2017/07/31","19925.18","19933.45","19983.90","19891.90"
"2017/08/01","19985.79","19907.08","20000.46","19904.72"
"2017/08/02","20080.04","20057.07","20113.73","20022.05"
"2017/08/03","20029.26","20066.00","20070.16","19985.40"
"2017/08/04","19952.33","19949.79","19984.51","19933.59"
"2017/08/07","20055.89","20059.29","20085.90","20037.40"
"2017/08/08","19996.01","20062.65","20076.80","19970.57"
"2017/08/09","19738.71","19928.96","19945.28","19660.22"
"2017/08/10","19729.74","19792.45","19829.88","19685.83"
"2017/08/14","19537.10","19545.58","19598.41","19486.48"
"2017/08/15","19753.31","19689.38","19824.12","19656.91"
"2017/08/16","19729.28","19750.55","19776.86","19719.08"
"2017/08/17","19702.63","19707.75","19739.04","19679.37"
